column,count,mean,stddev,min,max,q1,median,q3,iqr,mode
price,209692,81.66947971310296,117.3206124285259,0.0,999.99,19.99,34.99,99.99,80.0,19.99
num_subscribers,209440,3094.260632782659,15530.317699155868,0.0,1752364.0,25.0,201.0,1349.0,1324.0,0.0
avg_rating,209616,9.554220614729351,1392.5248055338147,0.0,626304.0,3.8,4.3,4.607143,0.8071429999999999,0.0
num_reviews,209687,243.79999551108082,2430.087063834512,0.0,436457.0,3.0,17.0,70.0,67.0,0.0
num_comments,209715,46.048556452137895,519.4166288574736,0.0,172991.0,1.0,5.0,17.0,16.0,0.0
num_lectures,209729,36.874520123551825,88.06080524089447,0.0,24886.0,11.0,21.0,41.0,30.0,0.0
content_length_min,209733,265.40956938250156,461.2728308337039,0.0,36899.0,68.0,131.0,281.0,213.0,0.0
